#,Sample ID,User name,Date and Time,Nucleic Acid,Unit,A260 (Abs),A280 (Abs),260/280,260/230,Sample Type,Factor
1,B,HP,12/03/2026 11:53:03 a.m.,0.2,ng/µl,0.005,-0.013,-0.4,-0.6,RNA,40
2,C1,HP,12/03/2026 11:54:21 a.m.,900.3,ng/µl,22.508,12.151,1.85,1.16,RNA,40
3,C2,HP,12/03/2026 11:55:10 a.m.,704.1,ng/µl,17.602,9.593,1.83,0.88,RNA,40
4,C3,HP,12/03/2026 11:55:58 a.m.,933.8,ng/µl,23.344,12.335,1.89,1.22,RNA,40
5,C4,HP,12/03/2026 11:56:38 a.m.,759.5,ng/µl,18.987,10.232,1.86,0.85,RNA,40
6,3W-1,HP,12/03/2026 11:57:32 a.m.,2204.5,ng/µl,55.113,28.098,1.96,1.56,RNA,40
7,3W-2,HP,12/03/2026 11:58:11 a.m.,1051.8,ng/µl,26.294,13.613,1.93,1.32,RNA,40
8,3W-3,HP,12/03/2026 11:58:53 a.m.,1625,ng/µl,40.625,20.928,1.94,1.35,RNA,40
9,3W-4,HP,12/03/2026 11:59:34 a.m.,1369.3,ng/µl,34.233,17.958,1.91,1.29,RNA,40
10,7W-1,HP,12/03/2026 12:00:22 p.m.,809,ng/µl,20.225,10.523,1.92,1.62,RNA,40
11,7W-2,HP,12/03/2026 12:01:06 p.m.,1796.3,ng/µl,44.908,22.817,1.97,1.57,RNA,40
12,7W-3,HP,12/03/2026 12:01:50 p.m.,1281.8,ng/µl,32.045,16.487,1.94,1.22,RNA,40
13,7W-4,HP,12/03/2026 12:02:33 p.m.,1108.9,ng/µl,27.723,14.433,1.92,1.28,RNA,40
14,13W-1,HP,12/03/2026 12:03:41 p.m.,916.2,ng/µl,22.904,12.534,1.83,1.09,RNA,40
15,13W-2,HP,12/03/2026 12:04:30 p.m.,680.4,ng/µl,17.011,9.377,1.81,0.82,RNA,40
16,13W-3,HP,12/03/2026 12:05:24 p.m.,848.9,ng/µl,21.223,11.194,1.9,1.13,RNA,40
17,13W-4,HP,12/03/2026 12:06:08 p.m.,790,ng/µl,19.75,10.538,1.87,1.06,RNA,40
18,17W-1,HP,12/03/2026 12:07:45 p.m.,625.5,ng/µl,15.638,8.498,1.84,0.54,RNA,40
19,17W-2,HP,12/03/2026 12:08:28 p.m.,795.2,ng/µl,19.879,10.402,1.91,0.76,RNA,40
20,17W-3,HP,12/03/2026 12:09:05 p.m.,1028.1,ng/µl,25.703,13.481,1.91,1.09,RNA,40
21,17W-4,HP,12/03/2026 12:09:44 p.m.,517,ng/µl,12.925,6.993,1.85,0.48,RNA,40
22,24W-1,HP,12/03/2026 12:10:35 p.m.,523.5,ng/µl,13.087,7.026,1.86,0.96,RNA,40
23,24W-2,HP,12/03/2026 12:11:22 p.m.,3742.7,ng/µl,93.567,47.501,1.97,1.87,RNA,40
24,24W-3,HP,12/03/2026 12:12:05 p.m.,2420.4,ng/µl,60.509,30.615,1.98,1.7,RNA,40
25,24W-4,HP,12/03/2026 12:12:47 p.m.,1832.1,ng/µl,45.802,23.237,1.97,1.42,RNA,40